Antony,Forward,21,24,0
name,position,number,age,goals
Lisandro Martínez,Defender,6,26,0
name,position,number,age,goals
Mike Maignan,Goalkeeper,16,28,0
name,position,number,age,goals
Marco Sportiello,Goalkeeper,57,31,0
name,position,number,age,goals
Davide Calabria,Defender,2,27,0
name,position,number,age,goals
Theo Hernández,Defender,19,26,0
name,position,number,age,goals
Pierre Kalulu,Defender,20,23,0
name,position,number,age,goals
Fikayo Tomori,Defender,23,26,0
name,position,number,age,goals
Simon Kjær,Defender,24,34,0
name,position,number,age,goals
Malick Thiaw,Defender,28,22,0
name,position,number,age,goals
Alessandro Florenzi,Defender,42,33,0
name,position,number,age,goals
Yacine Adli,Midfielder,7,23,0
name,position,number,age,goals
Ruben Loftus-Cheek,Midfielder,8,28,0
name,position,number,age,goals
Tijjani Reijnders,Midfielder,14,25,0
name,position,number,age,goals
Tommaso Pobega,Midfielder,32,24,0
name,position,number,age,goals
Rade Krunić,Midfielder,33,30,0
name,position,number,age,goals
Yunus Musah,Midfielder,80,21,0
name,position,number,age,goals
Olivier Giroud,Forward,9,37,1
name,position,number,age,goals
Olivier Giroud,Forward,10,24,1
name,position,number,age,goals
Christian Pulišić,Forward,11,25,1
name,position,number,age,goals
Luka Jović,Forward,15,26,0
name,position,number,age,goals
Noah Okafor,Forward,17,23,0
name,position,number,age,goals
Samuel Chukwueze,Forward,21,24,2
name,position,number,age,goals
Rafael Leão,Forward,10,24,1
name,position,number,age,goals
Fernando Muslera,Goalkeeper,1,37,0
name,position,number,age,goals
Angeliño,Defender,3,27,1
name,position,number,age,goals
Davinson Sánchez,Defender,6,27,0
name,position,number,age,goals
Kaan Ayhan,Defender,23,29,0
name,position,number,age,goals
Victor Nelsson,Defender,25,25,0
name,position,number,age,goals
Abdülkerim Bardakcı,Defender,42,29,1
name,position,number,age,goals
Kazımcan Karataş,Defender,88,21,0
name,position,number,age,goals
Sacha Boey,Defender,93,23,1
name,position,number,age,goals
Kerem Demirbay,Midfielder,8,30,0
name,position,number,age,goals
Hakim Ziyech,Midfielder,22,30,2
name,position,number,age,goals
Sérgio Oliveira,Midfielder,27,31,1
name,position,number,age,goals
Lucas Torreira,Midfielder,34,28,0
name,position,number,age,goals
Tanguy Ndombélé,Midfielder,91,27,0
name,position,number,age,goals
Kerem Aktürkoğlu,Forward,7,25,3
name,position,number,age,goals
Mauro Icardi,Forward,9,31,5
name,position,number,age,goals
Dries Mertens,Forward,10,36,2
name,position,number,age,goals
Wilfried Zaha,Forward,14,31,1
name,position,number,age,goals
Tetê,Forward,20,24,1
name,position,number,age,goals
Barış Alper Yılmaz,Forward,53,23,0
name,position,number,age,goals
Cédric Bakambu,Forward,94,32,1
name,position,number,age,goals
Brice Samba,Goalkeeper,30,29,0
name,position,number,age,goals
Ruben Aguilar,Defender,2,30,0
name,position,number,age,goals
Deiver Machado,Defender,3,30,0
name,position,number,age,goals
Kevin Danso,Defender,4,25,0
name,position,number,age,goals
Facundo Medina,Defender,14,24,0
name,position,number,age,goals
Massadio Haïdara,Defender,21,31,0
name,position,number,age,goals
Jonathan Gradit,Defender,24,31,0
name,position,number,age,goals
Florian Sotoca,Forward,7,33,0
name,position,number,age,goals
Elye Wahi,Forward,9,21,2
name,position,number,age,goals
Abdukodir Khusanov,Defender,25,20,0
name,position,number,age,goals
Przemysław Frankowski,Defender,29,28,1
name,position,number,age,goals
Salis Abdul Samed,Midfielder,6,23,0
name,position,number,age,goals
David Pereira Da Costa,Midfielder,10,23,0
name,position,number,age,goals
Andy Diouf,Midfielder,18,20,0
name,position,number,age,goals
Neil El Aynaoui,Midfielder,23,22,0
name,position,number,age,goals
Nampalys Mendy,Midfielder,26,31,0
name,position,number,age,goals
Adrien Thomasson,Midfielder,28,30,1
name,position,number,age,goals
Angelo Fulgini,Forward,11,27,2
name,position,number,age,goals
Wesley Saïd,Forward,22,28,0
name,position,number,age,goals
Morgan Guilavogui,Forward,27,26,0
name,position,number,age,goals
Joe Hart,Goalkeeper,1,36,0
name,position,number,age,goals
Alistair Johnston,Defender,2,25,0
name,position,number,age,goals
Greg Taylor,Defender,3,26,0
name,position,number,age,goals
Gustaf Lagerbielke,Defender,4,23,1
name,position,number,age,goals
Liam Scales,Defender,5,25,0
name,position,number,age,goals
Nathaniel Phillips,Defender,6,26,0
name,position,number,age,goals
Cameron Carter-Vickers,Defender,20,26,0
name,position,number,age,goals
Reo Hatate,Defender,41,26,0
name,position,number,age,goals
Stephen Welsh,Defender,57,24,0
name,position,number,age,goals
Luis Palma,Midfielder,7,24,2
name,position,number,age,goals
Kyogo Furuhashi,Midfielder,8,29,2
name,position,number,age,goals
Hyunjun,Midfielder,13,21,0
name,position,number,age,goals
Odin Thiago Holm,Midfielder,15,21,0
name,position,number,age,goals
Tomoki Iwata,Midfielder,24,26,0
name,position,number,age,goals
Paulo Bernardo,Midfielder,28,22,0
name,position,number,age,goals
Matthew O Riley,Midfielder,33,23,0
name,position,number,age,goals
Callum McGregor,Midfielder,42,30,0
name,position,number,age,goals
James Forrest,Midfielder,49,32,0
name,position,number,age,goals
David Turnbull,Forward,14,24,0
name,position,number,age,goals
Hyeongyu Oh,Forward,19,22,0
name,position,number,age,goals
Daizen Maeda,Forward,38,26,0
name,position,number,age,goals
Mikey Johnston,Forward,90,24,0
name,position,number,age,goals
Omri Glazer,Goalkeeper,18,28,0
name,position,number,age,goals
Miloš Degenek,Defender,3,29,0
name,position,number,age,goals
Uroš Spajić,Defender,5,31,0
name,position,number,age,goals
Aleksandar Dragović,Defender,15,33,0
name,position,number,age,goals
Milan Rodić,Defender,23,32,0
name,position,number,age,goals
Nasser Djiga,Defender,24,21,0
name,position,number,age,goals
Mirko Ivanić,Midfielder,4,30,0
name,position,number,age,goals
Marko Stamenic,Midfielder,6,22,1
name,position,number,age,goals
Guélor Kanga,Midfielder,8,33,0
name,position,number,age,goals
Aleksandar Katai,Midfielder,10,33,1
name,position,number,age,goals
Kings Kangwa,Midfielder,20,24,0
name,position,number,age,goals
Osman Bukari,Midfielder,30,25,2
name,position,number,age,goals
Srdjan Mijailović,Midfielder,33,30,0
name,position,number,age,goals
Vladimir Lučić,Midfielder,37,21,0
name,position,number,age,goals
Inbeom Hwang,Midfielder,66,27,1
name,position,number,age,goals
Uroš Kabić,Midfielder,70,20,0
name,position,number,age,goals
Stefan Mitrović,Midfielder,80,21,0
name,position,number,age,goals
Cherif Ndiaye,Forward,9,28,1
name,position,number,age,goals
Peter Olayinka,Forward,14,28,0
name,position,number,age,goals
Jean-Philippe Krasso,Forward,17,26,0
name,position,number,age,goals
Justin Bijlow,Goalkeeper,1,26,0
name,position,number,age,goals
Timon Wellenreuther,Goalkeeper,22,28,0
name,position,number,age,goals
Bart Nieuwkoop,Defender,2,28,0
name,position,number,age,goals
Thomas Beelen,Defender,3,22,0
name,position,number,age,goals
Lutsharel Geertruida,Defender,4,23,0
name,position,number,age,goals
Quilindschy Hartman,Defender,5,22,0
name,position,number,age,goals
Marcos Lopez,Defender,15,24,0
name,position,number,age,goals
Gernot Trauner,Defender,18,31,0
name,position,number,age,goals
Dávid Hancko,Defender,33,26,1
name,position,number,age,goals
Ramiz Zerrouki,Midfielder,6,25,1
name,position,number,age,goals
Quinten Timber,Midfielder,8,22,0
name,position,number,age,goals
Calvin Stengs,Midfielder,10,25,1
name,position,number,age,goals
Thomas Van Den Belt,Midfielder,16,22,0
name,position,number,age,goals
Mats Wieffer,Midfielder,20,24,1
name,position,number,age,goals
